Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
MOGAT2,0.912328,1.0,5.45726,5.4919
DNAH3,0.946613,1.0,5.719109,5.8826
CALB2,3.027801,3.0,8.262891,8.2143
IGHV3-43,0.469323,0.0,4.911805,4.9069
KRT1,5.79496,6.0875,2.935161,3.0
ESM1,3.020478,2.8074,8.628922,8.7781
ADTRP,2.052208,2.0,7.701696,7.7616
IGHV1-24,0.606929,0.0,5.819188,5.9307
TMEM52,10.861799,11.062,6.065208,5.8074
HLA-DRB1,8.641762,8.5967,13.316085,13.494
KLK8,0.553156,0.0,7.042697,7.7944
NCAPG,3.574204,3.4931,8.599694,8.6598
CLPSL2,3.815252,4.0,1.223975,1.0
KLK10,3.275903,3.1699,11.075662,11.9864
SLC2A1,7.403051,7.4891,13.123897,13.2761
PHLDA2,4.947728,4.9069,10.17214,10.3554
AP000439.3,0.138185,0.0,4.095648,4.2479
IGLC7,0.765398,0.0,5.606734,5.5558
NTM,3.668226,3.585,10.383956,10.5997
SERPINB3,1.907044,2.0,6.454882,6.2361
CD1C,1.992687,2.0,7.014663,7.1396
IGHGP,0.750031,0.0,9.079757,9.4981
FGFBP1,2.393774,2.3219,7.48318,7.7748
NOX1,0.547321,0.0,4.489553,4.0
RP11-1143G9.5,7.945269,8.0389,5.405919,5.5546
IGLC3,5.407202,5.218,11.769398,11.9834
ONECUT1,8.216787,8.2761,5.213245,5.6147
RP5-940J5.9,0.352087,0.0,5.486361,6.1191
KCNJ5,9.255257,9.5925,7.60548,7.5999
RAD54L,2.591595,2.6159,7.201825,7.3485
MYH7,8.002128,8.0807,2.822493,2.585
GPR35,5.249082,5.2095,10.245574,10.6051
PAX5,1.645325,1.585,5.759906,5.3923
LYZ,9.102163,9.0378,15.142101,15.3827
PTGS2,3.871064,3.7004,9.633205,9.7781
MBL1P,7.379197,7.4512,4.410402,4.4594
CTSLP2,3.478806,3.6542,1.356823,1.1635
SLPI,7.031948,6.9773,12.526168,12.8068
AC129492.1,4.824209,5.04,2.374758,2.8032
PDCD4,13.949584,14.2181,12.166138,12.1352
RP11-343H5.4,4.61218,2.8156,1.711618,1.585
HS3ST3A1,1.563963,1.6915,6.32394,6.4
PHACTR3,3.363598,3.3219,8.230461,8.375
F2RL2,4.673323,4.7004,9.268289,9.4838
TMPRSS9,4.723144,4.8379,2.696022,2.8176
AC016722.4,5.966508,6.0422,3.701217,3.729
NR5A2,11.266335,11.3982,9.443787,9.4471
IGHV3-21,1.417004,1.0,7.589589,7.8172
DPYSL3,7.863975,7.8265,13.18736,13.2983
SPDEF,3.336387,3.1699,9.465623,9.9469
LINC00982,9.511517,9.5925,7.45719,7.6147
RIPPLY3,0.80566,1.0,4.933806,5.0444
RP11-417E7.1,0.339645,0.0,4.473235,4.5236
CENPE,3.453862,3.585,8.319458,8.375
RP11-830F9.5,4.880988,4.9579,2.673865,2.6182
XDH,4.53909,4.6439,9.356349,9.568
GPR68,4.347587,4.3923,9.010808,9.2042
CDH11,6.856907,6.7814,12.261342,12.3955
STRA6,2.661184,2.3219,9.983144,10.1997
CMTM3,7.006295,6.9773,11.601446,11.7989
NEK2,1.676217,1.585,8.201617,8.3487
CTHRC1,5.086155,5.0444,11.966569,12.1351
FOXD1,1.074187,1.0,5.939719,6.1278
RP11-211G23.2,0.466531,0.0,4.39204,4.7004
ALDH3A1,3.030886,3.0,8.212173,8.5078
CRIP1,6.021137,6.0067,12.518106,12.5802
AC079779.4,3.739774,3.9069,1.329146,1.0
RAC2,6.276081,6.2668,11.234046,11.4142
PBK,2.668057,2.585,7.50386,7.5469
IGKV1-12,0.235489,0.0,3.910701,3.8846
RP11-197N18.2,8.416302,8.4815,6.822827,6.9003
FOXL1,2.336472,2.3219,9.710894,9.7977
ECM1,6.712824,6.7279,11.71995,11.7859
HLA-DRB6,2.959538,3.0197,8.959849,9.2921
MMP11,5.111251,5.0413,14.115504,14.5053
BMP7,3.369261,3.0,7.95644,7.9715
EPB41L4B,12.575219,12.6985,10.37988,10.4325
IGLV2-14,3.556135,3.2188,9.082988,9.3456
NANOGP1,3.475444,3.6724,0.815927,0.0
CA4,8.149774,8.224,5.544355,5.8074
KLK7,1.557823,1.585,9.367432,10.0741
FAM95B1,8.819553,8.9556,6.628868,6.8126
HTR1D,1.127066,1.0,7.413048,7.5392
TREM1,2.873657,2.585,8.159241,8.4798
IGFN1,10.763389,10.7944,6.002703,6.0224
ADAMTS12,5.334265,5.4594,10.722044,11.0112
PROC,2.629395,2.585,7.314103,7.2946
S100A6,9.758811,9.7698,16.380981,16.5218
TMPRSS4,2.114389,2.0,12.576661,13.3281
IZUMO1,6.551407,6.5999,2.317499,2.3219
RP11-499P20.2,6.605446,6.6778,4.971832,5.0
DLGAP5,1.850878,1.585,8.337077,8.5546
AC020571.3,0.94728,1.0,5.330387,5.4919
IGKV1-33,2.056592,1.585,8.261334,8.384
HRASLS2,0.644217,0.0,6.407472,6.5392
IGKV3-20,3.619068,3.3219,10.209357,10.6667
HOXA1,1.598953,1.585,5.728898,5.858
SFTPD-AS1,4.984424,5.1031,1.896214,2.0
MYOC,4.521983,4.3219,2.351727,2.0
ITIH2,2.614968,2.585,6.937209,7.3309
LUZP2,0.574423,0.0,5.55557,5.5546
PRRX2,3.464766,3.585,8.144103,8.2192
PLIN4,10.435456,10.4126,8.099974,7.8826
SLC25A48,4.805183,5.0,2.982702,3.0
TTK,2.825195,2.8074,7.506333,7.7347
IGLV3-1,1.555239,1.0,7.814384,7.9139
IGLV3-21,1.636951,1.585,7.794622,7.8826
IGHV2-5,1.167201,1.0,6.377188,6.4906
TNFSF12-TNFSF13,1.540278,0.0,5.959358,6.5438
NTF4,0.540635,0.0,4.517191,4.8812
DPEP1,12.219098,12.4305,9.703406,9.8471
CTD-2008P7.8,3.78029,3.8207,0.720266,0.0
ABCB4,2.237052,2.0072,6.742022,6.6475
WNT7A,1.312361,1.0,8.041788,8.9069
CSMD3,4.684481,4.9069,1.736948,1.585
CD1A,0.446953,0.0,6.041358,6.1898
RBPJL,14.382232,14.5899,4.446719,3.585
CCDC64B,12.360326,12.4787,10.452939,10.6888
CRNN,4.281487,4.3923,0.312668,0.0
TARDBPP2,3.50693,3.585,1.386966,1.0
RP11-1143G9.4,2.833716,3.0072,9.196835,9.7828
RP5-907D15.4,0.6008,0.0,5.101356,5.1699
RP11-276H19.1,5.811111,5.9307,3.445847,3.585
LAMP5,2.809211,2.8074,9.90961,10.2348
PITX1,2.487506,2.3219,9.418338,9.9307
OXTR,3.032727,3.0,7.429179,7.2761
IGKV2D-29,0.725837,0.0,5.167554,5.3129
TP63,2.353451,2.3219,6.639311,6.6724
PLAC8,3.654869,3.585,10.352912,10.584
RP11-47A17.2,3.083489,3.1699,0.837158,1.0
CXCL9,3.227996,3.0,9.169582,9.0901
IGLC2,6.366989,6.269,12.731352,12.8681
AKR1B10,3.272321,3.0,9.640946,10.2154
TSPAN8,8.766044,8.8918,13.366483,13.7505
RP11-5A19.5,8.31457,8.4203,5.673392,6.065
BEGAIN,9.857724,9.9543,6.73536,6.5671
SNHG24,3.852189,3.8074,1.739245,1.585
TNS4,2.493806,2.585,10.695268,11.2149
RP11-348N5.9,5.347014,5.5195,3.16138,3.2219
PI3,2.512131,2.3219,9.230722,9.5661
MSX2,3.268736,3.3219,7.652776,7.8948
FAM83D,3.02669,3.0,8.475612,8.5196
CTD-2626G11.2,8.397974,8.6582,4.049011,4.2479
HPN-AS1,5.931707,6.045,1.793679,1.585
RHOF,5.615268,5.7018,10.525012,10.6421
AC005152.3,4.501218,4.6439,1.800229,1.585
HPN,12.347384,12.5915,8.765211,9.0084
TOP2A,4.196155,4.0,10.832804,11.0203
ANXA1,8.899169,8.8392,13.489823,13.6468
UCN2,0.527433,0.0,4.830968,5.0058
IGHV3-11,1.374732,1.0,6.867238,7.0992
LINC01215,0.580412,0.0,4.298806,4.1699
FGL1,12.153472,12.3273,6.682076,6.4429
PNLIP,18.944698,19.5573,9.940458,9.5812
PAEP,0.079772,0.0,4.56137,4.2479
NCAPH,2.656065,2.585,8.007998,8.1189
CST6,2.238916,2.3219,7.956365,8.2095
CHST6,1.687321,1.585,7.177423,7.3129
ODAM,2.318909,2.585,6.830031,7.098
DEPDC1,1.763631,1.585,7.281506,7.3392
CELP,12.553448,12.7338,4.573252,3.1699
DSG3,2.611393,2.585,7.147939,7.5622
RP11-420K14.1,4.321031,4.4594,0.812646,0.0
NAPSB,4.235214,4.1243,8.982338,9.1107
LTB,4.209432,4.0875,9.050472,9.1033
HCAR3,0.86101,0.0,4.768265,5.0457
FAM83A,1.49395,1.585,9.169459,9.6183
DPP10-AS1,6.582176,6.7004,2.682007,2.3219
LDHAP3,0.158771,0.0,4.454143,4.848
RP11-829H16.3,4.065537,4.1268,1.21922,1.2869
HRH1,3.923486,4.0875,9.590059,9.7566
TSPAN1,6.115094,6.1085,13.184558,13.5389
CTB-191K22.5,3.269705,3.8953,8.805053,8.9515
CCL17,0.535232,0.0,6.205125,6.6294
CENPA,1.774728,1.585,6.772526,6.9069
HMGB1P10,3.885804,3.8748,1.778346,2.0461
LINC01559,0.648503,0.0,8.258308,8.7814
IGLV7-46,1.318896,1.0,5.909408,6.0027
SIT1,2.080708,2.0,6.206368,6.0444
IGLV2-11,2.459623,2.3219,7.933901,8.2124
LHFPL5,6.665923,6.8077,3.200793,3.3937
CTD-2515H24.2,4.764637,4.8074,1.992266,2.0
TMEM26,1.953344,2.0,6.461705,6.4733
IGHG4,3.220694,2.9837,11.706339,11.8689
UGT1A10,0.522884,0.0,9.950557,10.8353
HNRNPA1P4,0.418143,0.0,4.396869,4.5558
ACTA1,5.796748,6.3399,2.516582,2.585
EIF5AP4,0.48728,0.0,5.803561,5.79
SERTAD4,3.37724,3.4594,8.278616,8.3038
HOXB13,0.424154,0.0,4.25036,4.585
HEPH,6.080275,6.1898,11.160545,11.2592
BLACAT1,2.399274,2.5059,8.125459,8.6475
XXbac-BPG116M5.17,0.840509,0.0,5.006918,5.9079
ANKRD20A1,5.348353,5.6094,3.377109,3.8166
TMED6,9.981505,10.3216,6.757779,6.8329
ACSL5,7.250868,7.3209,12.253863,12.427
RP11-569G13.3,6.639195,6.8202,3.390216,3.585
CXCL14,7.280856,7.3309,12.161679,12.6236
AC131097.4,7.075804,7.3129,2.484115,2.0
CENPF,4.046039,3.8074,10.17356,10.388
CKM,5.563732,6.1497,2.911505,3.0
MZB1,3.061477,2.8074,8.29136,8.3264
UGT1A6,1.146035,1.0,7.343971,7.516
ANXA2P2,5.057547,5.0925,9.826374,10.0065
KIAA1211,3.936908,4.0875,9.203459,9.4553
MCOLN3,9.204392,9.3707,6.914513,6.9658
IGKV4-1,3.127383,3.0,9.358388,9.5622
KLRB1,2.654657,2.8074,7.007219,6.9189
MYH16,0.296928,0.0,5.677381,5.7279
IGHV3-73,0.827818,0.0,5.013563,5.1293
IL1RN,4.41383,4.3219,10.618821,11.0444
MOXD1,5.950352,6.0224,10.644134,10.7674
AKR7A3,11.93664,12.3324,10.061935,10.1718
SLC22A31,7.693441,7.5774,3.859895,3.585
C3orf80,2.706607,2.8074,7.221521,7.3038
AMY2A,17.83481,18.6038,8.592468,7.9067
DCSTAMP,0.972658,1.0,5.366209,5.5546
RP11-54H7.4,1.335904,1.0286,5.565534,5.7214
CGB8,0.019617,0.0,5.519886,5.6536
TMC7,4.704014,4.585,9.327181,9.5311
MISP,4.284328,4.3219,12.268577,12.3982
TPX2,3.529765,3.585,10.123338,10.2621
LAMC2,7.244625,7.3038,14.297401,14.5963
CYP2C18,2.172322,2.0,8.908702,9.3115
MKNK1,12.229291,12.4186,10.326688,10.3934
ZRSR1,4.183347,4.5323,2.134935,2.797
CENPVP1,0.161996,0.0,4.109228,4.3212
CSF2,0.117275,0.0,4.738392,4.858
CRISP3,4.777289,4.4594,9.285322,10.1561
RPS20P22,5.479872,5.5236,2.368939,2.3219
AK4,5.743162,5.7247,10.659168,10.8716
CBFA2T3,10.05086,10.1821,8.17395,8.2992
PLA2G2F,0.263024,0.0,3.827694,4.2479
RP11-476M19.2,3.586749,3.8074,0.43971,0.0
IGLV6-57,1.450708,1.0,7.014004,6.9189
CDCA2,1.992188,2.0,7.064948,7.1599
KIF26B,5.142608,5.2095,10.786936,10.8704
UPK3A,0.294756,0.0,3.981544,3.8074
UBD,7.000423,6.8202,11.662905,11.9625
ERO1LB,12.749137,12.9647,10.348059,10.341
SULT2B1,3.279214,3.1699,8.125623,8.3038
BX470102.3,0.985914,1.0,6.055158,5.9773
RP5-944M2.1,2.929825,3.0,0.363657,0.0
SERPINB7,1.006624,1.0,6.473283,6.7004
LRRC15,1.549537,1.585,9.371215,9.5584
IGHV3-15,1.763001,1.585,7.303519,7.4594
F5,5.868861,5.9307,10.675631,10.8727
EDAR,2.454929,2.3219,7.663737,7.9715
TMEM150B,1.772862,1.585,6.524886,6.6294
RP11-320N7.2,7.259263,7.6511,2.893747,2.3219
MIA,2.418523,2.3219,9.347817,9.5845
STMND1,5.753667,5.9069,3.242001,3.1699
SIGLEC15,1.924775,2.0,6.068568,5.8826
FREM2-AS1,4.352865,4.8074,0.480082,0.0
AL158801.1,0.839869,1.0286,4.823585,4.9045
XXbac-B444P24.8,0.633433,0.0,4.803884,5.4263
SLC9A2,1.226416,1.0,7.58772,7.8887
C8orf49,6.272882,6.375,3.988909,4.1699
RP1-60O19.1,10.047611,10.1085,8.012479,8.6147
MUM1L1,8.859075,9.0553,7.241914,7.5699
CYP3A4,7.066883,7.0581,4.461758,4.0
KCNV1,3.86195,4.0,1.265204,1.0
LINC00578,0.651893,0.0,4.433167,4.4594
CLDN18,4.150044,4.0,11.677362,12.8975
ABCA5,11.402055,11.5297,9.91065,9.8106
PGA5,5.468543,5.9916,2.343961,1.585
NDC80,2.985844,3.0,8.346236,8.3707
AC005307.1,5.175449,5.3576,1.468707,1.0
FGF19,0.610147,0.0,7.284354,7.4594
FBN1,8.698204,8.8234,13.330437,13.4205
ICOS,1.234937,1.0,5.39008,5.585
CLCN1,0.684823,0.0,5.09691,5.2095
FXYD3,8.254373,8.2992,13.234907,13.4804
SPINK4,0.777057,1.0,5.325839,5.0444
GATM,15.120577,15.4072,12.121568,12.1639
SFRP2,8.645514,8.5584,14.27179,14.6646
ANKRD20A2,4.554048,4.7581,2.513366,2.854
ADAM19,5.732342,5.6724,10.705909,10.9535
YWHAZP4,1.026261,1.0,5.213964,5.2396
FGF1,3.658121,3.7004,8.08233,8.0821
GUCA1C,8.060628,8.2574,1.943093,0.0
RP11-316M1.12,1.667723,1.8032,7.176958,7.6872
RP11-680E19.1,3.383092,3.7004,0.968628,0.0
GZMH,1.946407,2.0,6.125945,6.2055
RP11-766N7.3,4.383049,4.4594,1.897153,2.0
CCDC110,8.013372,8.1189,5.517693,5.4919
HOXA11,0.504503,0.0,4.381408,4.585
GPX2,7.226141,7.2095,13.033228,13.2959
CLCNKA,6.781297,6.7748,4.23159,4.2126
CD3D,2.997872,3.0,7.598861,7.7142
RP11-304L19.1,2.15163,2.2479,6.348721,6.6841
CTRL,14.640093,14.989,7.514753,6.0146
LGR6,3.001494,2.8074,8.283279,8.6073
RIC3,9.51862,9.6402,6.977917,7.1799
GPT2,12.180236,12.1855,10.308866,10.1561
TDO2,2.485233,2.585,7.266818,7.5469
MMP7,9.376912,9.3859,14.192717,14.8577
IGHV4-61,0.961831,0.0,6.403986,6.6536
SPC24,3.041915,3.0,7.708447,7.8138
PALM2-AKAP2,2.962411,3.9809,7.566074,8.0052
TRIM31,2.710605,2.8074,9.525818,10.0402
CAPN9,1.576703,1.585,8.036209,8.4305
OASL,3.311187,3.3219,9.687155,9.8234
CAMK2N2,8.74583,8.874,5.909161,5.6642
RP11-439M11.1,4.451662,4.5236,2.091216,2.0
CECR2,8.163587,8.2574,4.960836,5.1293
SLC16A4,4.821416,4.858,9.438607,9.69
RNF144A-AS1,8.319602,8.4838,5.779837,6.0224
AC104534.3,0.718823,0.0,4.858566,5.2008
CKS1BP3,0.19628,0.0,3.848722,4.0479
APOC1,5.481895,5.2854,11.124147,11.2963
MUC12,2.107051,2.0,7.072403,6.946
DIAPH3,3.185444,3.0,7.723442,7.8202
RP11-256I23.2,4.453286,4.4621,2.124678,2.1731
NT5C1A,3.349272,3.7004,1.031258,1.0
CD180,3.283957,3.4594,7.830631,7.858
LRRC31,0.543284,0.0,5.717732,5.9069
XXbac-BPG246D15.9,2.717649,3.6758,7.80426,8.3019
SDHDP1,3.633835,3.8074,0.410292,0.0
RP11-486A14.1,0.196138,0.0,4.808473,5.1699
AQP12A,10.376978,10.5333,3.515691,3.4155
SYPL2,7.597238,7.7004,5.988344,6.0661
GOLGA8B,14.270772,14.4739,10.769759,10.9573
PLAT,7.939424,7.9307,13.609826,13.6431
ANXA8,2.698783,2.6323,9.373582,9.7732
RP11-301L8.2,6.347191,6.4757,4.018234,4.0875
EGFL6,1.101078,1.0,6.989982,7.1799
S100A4,7.866443,7.9069,12.514011,12.2538
SPTSSB,3.738105,3.7004,8.451702,8.5962
RP11-422N16.3,5.613184,5.7814,2.152474,2.0
DLX5,0.623151,0.0,5.334589,5.3219
IL21R,2.678962,2.8074,7.437369,7.6331
PLIN5,11.398193,11.4702,6.58645,6.7829
C2orf54,3.460128,3.3219,8.326629,8.4009
BIRC7,0.564023,0.0,6.149454,6.1293
CTSS,8.008665,8.0875,12.84082,13.0429
AC016735.2,2.068477,2.0,6.295082,6.6439
MDFI,5.265243,5.1293,10.266706,10.5265
MUC6,13.328379,13.5481,11.483389,12.2161
GYS2,4.022504,4.0875,1.732974,1.585
GTSE1,2.992528,3.0,7.931895,8.0875
MUC5B,7.776196,7.4512,12.654222,13.1296
HERC2P10,4.050922,4.1667,1.503588,1.6462
C15orf27,7.343837,7.4757,5.381327,5.3576
NEIL3,0.853956,1.0,5.459968,5.4919
PM20D1,10.13267,10.7977,4.754915,4.7549
SEMA6D,9.32596,9.5353,7.801568,7.9715
LGALS9C,1.059898,1.0,5.466029,5.7653
IGFL2,0.551647,0.0,7.869632,8.2946
BASP1,5.848201,5.7549,10.48054,10.5718
FER1L5,7.339377,7.375,3.496677,3.7004
RP11-64C12.3,7.218062,7.3487,2.029646,1.585
RP11-426C22.4,1.202126,1.0,5.992216,6.2361
CH17-360D5.3,0.502843,0.0,5.241593,5.6147
NRG4,8.661358,8.7588,6.292747,6.2808
AC013460.1,3.59239,3.7004,1.092712,1.0
XXYLT1-AS2,0.253993,0.0,4.501382,4.8074
CTD-3080P12.3,5.561475,5.7004,2.808003,3.0
BMP4,5.84829,5.9069,10.435453,10.5925
CPA4,8.690825,8.6935,5.210482,5.2479
HIST1H2BJ,1.313587,1.0,5.260427,5.2858
GAPLINC,0.407522,0.0,4.81579,4.9069
IGLV2-8,2.674439,2.4751,7.870248,7.9373
P4HA3,3.589995,3.4594,8.348308,8.4717
MSLN,2.83522,2.585,12.53518,13.4909
IGHV1-2,1.319471,1.0,6.429785,6.7456
PYY2,5.209424,5.1699,3.002572,3.0
RP11-284F21.9,2.255073,2.3219,6.88243,7.2384
DEPDC1B,2.334188,2.3219,7.42425,7.5314
GJB2,4.936602,4.858,11.252434,11.5826
CYP4F3,3.788772,3.7939,8.955484,9.1076
CCL19,3.531398,3.0,8.906215,9.0875
C10orf142,3.57476,3.7708,1.251613,1.1243
CTD-2008P7.9,9.688542,9.8265,4.59105,4.585
LINC00922,0.092766,0.0,4.257167,4.3923
CTLA4,1.572506,1.585,6.216392,6.3399
CCDC155,5.769314,5.8826,1.749874,1.585
CTA-384D8.35,0.854668,0.0,5.416731,5.5075
DMBX1,0.180101,0.0,4.881808,5.1293
CCL5,5.42106,5.4594,9.989977,9.9801
AC009133.22,3.478526,4.2095,0.582346,0.0
FAM111B,2.549196,2.585,7.768626,7.9307
CTD-2651B20.4,3.947035,4.0875,1.532758,1.585
ADGRF4,1.306138,1.0,7.619976,7.9129
MTND4P12,3.163408,3.1699,7.946232,9.6944
ACTN2,6.58775,6.6865,4.353687,4.5236
ADGRG7,0.685847,0.0,5.016694,4.9069
LEMD1,0.742788,1.0,7.46674,8.0224
RRM2,4.329077,4.1699,9.886086,9.9901
TMEM154,4.101696,4.1699,9.255614,9.3966
SLC16A10,9.880008,10.1215,7.961056,8.0168
PTPRR,2.139307,2.0,8.062984,8.0
VSTM2L,5.352792,5.4594,10.388082,10.4818
MYL2,4.280584,4.585,1.412415,1.0
CD109,5.535471,5.6147,10.488823,10.6777
GLS2,10.263492,10.4002,6.821482,6.7703
SCUBE3,3.115612,3.1699,8.036923,7.8202
MAGEB17,4.383833,4.6439,1.793553,1.585
EGR2,4.400349,4.3219,9.625334,9.7039
TTYH1,9.21677,9.3663,7.236502,7.1898
FAM3D,3.088477,3.0,9.65984,10.0808
ADAM12,3.567729,3.585,10.192421,10.4848
NPHS1,10.02548,10.1293,5.425321,5.6439
AC009065.4,0.0,0.0,5.694132,5.7882
ANPEP,14.596328,14.8275,11.956818,12.0563
RP1-34M23.5,0.234016,0.0,4.386911,4.9083
RP1-122P22.4,2.392343,2.433,6.656779,6.6643
HNRNPA1P33,0.866651,1.0,6.046287,6.3736
RP1-58B11.1,4.41294,4.6439,1.329513,1.0
MEG9,7.504084,7.3663,4.694757,4.7004
COCH,9.224537,9.4506,7.073305,7.0224
NDP,0.554435,0.0,5.443696,5.6147
PPP1R14C,3.94882,3.9069,8.639775,8.7381
LINC00941,2.387464,2.3219,6.639023,6.8202
PKM,11.638408,11.7202,15.893546,15.96
IL12RB2,6.69902,6.7944,4.459206,4.3923
KRT6B,3.694354,3.696,8.895923,9.2391
IGFBP3,8.260366,8.2992,14.247755,14.3378
CD48,4.415817,4.3923,8.857558,8.8486
GZMA,3.034459,3.1699,7.681897,7.7748
SLC25A45,10.324773,10.446,8.426035,8.3966
CENPK,3.07495,3.0,7.462203,7.5774
TDH,7.365052,7.5774,2.634271,2.585
LINC00443,0.096826,0.0,4.298716,4.3219
GDPD2,0.836128,1.0,5.448945,5.7279
IGLV1-51,3.055944,2.8074,8.028982,7.9657
CD28,2.094342,2.3219,6.711851,6.7004
S100A2,3.004161,3.1699,9.29038,8.9307
IGHV4-31,0.410332,0.0,5.32643,5.3754
CYP2C9,2.681462,2.585,7.030134,7.4215
MUC5AC,3.27445,2.8074,12.047661,13.0671
LDLRAD1,0.818953,1.0,4.803947,4.8074
LMO3,9.399443,9.6795,7.449209,7.5157
MGLL,8.48225,8.5507,13.062846,13.2453
APOBEC1,0.222478,0.0,6.113639,6.2854
CBS,11.610044,11.9461,7.642969,7.8189
IGHV1-69-2,1.184063,1.0,7.326754,7.5999
SYT12,3.69793,3.585,8.6637,8.9396
ATHL1,14.828931,15.1448,11.651409,11.7117
IGHV2-26,0.478196,0.0,4.549299,4.6439
CD300LF,3.084747,3.0,7.754555,7.983
CD300LG,5.300079,5.3923,3.05259,2.8074
SYCP2L,5.978483,6.1085,3.929427,3.9212
SERPINB4,0.581523,0.0,4.926612,5.1534
RARRES3,6.253502,6.2288,11.264693,11.3259
HSPD1P11,5.201864,5.2479,1.939852,2.0
CSDC2,10.04209,10.515,7.424745,7.5783
IGHM,6.623976,6.5999,12.553608,12.7976
P2RY10,1.241875,1.585,5.405193,5.4919
ASPM,3.07438,3.0,8.779742,9.0251
TIFAB,0.587556,0.0,4.598918,4.9069
SERPINB5,2.180251,2.3219,10.430867,10.9484
HLA-DQB1,6.559225,6.6282,11.355002,11.3663
IGLV1-40,2.589765,2.3219,8.574706,8.8008
CAMK2N1,7.67738,7.6511,12.550556,12.5781
MYLKP1,4.245787,4.585,1.12156,1.0
PPEF1,1.770095,1.585,5.98276,6.0875
CDC20,3.26305,3.1699,9.353198,9.546
RHOXF1P1,6.280972,6.4263,1.784058,1.0
KCNS1,2.219092,2.3219,6.664353,6.858
AZGP1,12.865786,13.0639,10.961121,11.1897
PSCA,3.079202,3.0,10.887008,11.7166
CTRB1,19.049494,19.3625,10.349838,10.8303
C8orf46,6.07578,6.1973,4.345244,4.4594
DTNA,9.674164,9.7863,8.147322,8.1344
CTB-31O20.3,1.435795,0.0,5.626468,6.1094
AQP12B,13.195169,13.4791,4.651878,4.5361
KIF4A,2.441007,2.3219,8.638427,8.7381
ANLN,3.497981,3.4594,9.819767,9.9929
RP11-64C12.5,4.451683,4.5236,0.34547,0.0
IL4I1,3.470014,3.5148,8.195498,8.2767
PLAUR,6.275222,6.2668,12.093908,12.2641
KRT23,5.248415,5.1699,9.867418,9.9629
PRR11,3.077784,3.0,7.841854,7.9887
TMEM200A,4.997398,5.0,9.553111,9.6952
LINC00238,3.419383,3.4594,0.761649,0.0
MT-TA,0.360771,0.0,4.887646,4.9542
AC068831.17,3.3155,3.4594,0.618079,0.0
SDC1,9.070844,9.1874,13.809172,13.9549
GUCY1B2,0.907495,1.0,4.674401,5.2479
ANKRD20A5P,6.549571,6.7029,4.813242,4.9378
CTD-2377D24.6,0.27546,0.0,7.644409,8.8297
IAPP,8.572952,9.0553,6.835553,7.1997
PKD1P1,9.578156,9.7892,7.275796,8.0745
IGLV3-10,1.245663,1.0,5.865164,5.9773
TCN1,4.972004,4.8074,11.706551,12.3132
BATF,3.219327,3.1699,9.031807,9.236
AC063976.7,5.088085,5.2095,3.159028,3.3219
IFI6,8.007244,7.8265,13.032049,13.0539
GPR1,0.80066,1.0,5.600964,5.7814
GDF10,8.282893,8.5392,4.419067,4.4594
FN1,10.692739,10.7202,16.813128,16.983
ATP2C2,4.786865,4.5179,9.59543,9.7508
RP11-348N5.7,6.766014,6.8704,4.355914,4.3219
ANKRD62,5.147717,5.2479,0.857582,1.0
RP11-60L3.1,0.129712,0.0,4.40763,4.4594
WNT2,1.396019,1.585,8.419545,8.611
AMYP1,8.310489,8.3965,3.95105,2.4436
BHLHA15,10.913441,11.2324,4.736159,4.2479
ZNF804B,3.490877,3.9069,0.186065,0.0
SLC5A1,6.030131,6.0224,10.664072,10.8431
RP11-395B7.4,0.396583,0.0,5.58866,5.6502
APOC2,1.574218,1.4489,6.166434,6.4308
CLPSL1,7.361149,9.1163,2.549364,1.585
RP6-149D17.1,6.662979,9.0028,2.56167,0.0
ITGBL1,6.713,6.8019,11.53428,11.7817
TFF3,5.74271,5.7004,11.680379,11.7347
GP2,19.469245,19.8549,10.415274,10.4988
SLC24A3,5.092943,5.1293,9.641872,9.6865
IGLV3-9,0.526667,0.0,4.492107,4.6439
FSCN1,7.575795,7.5699,12.17073,12.1833
FGF17,5.767953,5.7549,3.700002,3.8074
CRACR2B,12.017668,12.152,10.5349,10.6375
LPAR5,4.15644,4.2479,9.217815,9.3151
ALDOB,11.386337,11.4993,9.801898,9.9527
FCRLA,0.768149,0.0,5.165388,4.8074
CD68,7.479179,7.8308,12.933679,13.1172
PTGES,4.58077,4.585,10.182389,10.275
MKI67,4.491318,4.3219,11.041226,11.1567
UMOD,6.598679,6.7549,1.870389,1.0
MATN3,3.651381,3.7004,10.037323,10.332
FOXC2,2.02559,2.0,6.846992,6.7289
CCR4,1.183311,1.0,6.232041,6.2095
KLB,7.395545,7.5157,4.560128,4.5236
FAM153B,7.353211,7.4856,5.545379,5.7178
IGHV3-53,0.575177,0.0,5.029054,5.2615
AGR2,7.578702,7.5236,13.888794,14.2454
LINC01152,7.408998,7.5844,4.816857,4.9069
RP11-82L18.2,6.202251,6.4594,4.300994,4.2479
CDC25C,1.259745,1.0,6.569169,6.7279
LINC00494,0.559807,0.0,4.62444,4.5236
RP5-1063M23.2,4.895881,5.0875,2.718652,2.585
GPHA2,8.280438,8.69,3.233073,2.3219
FABP6,0.777362,0.0,5.277313,5.6724
RP11-416N2.4,7.12843,7.1498,5.021005,4.9542
